simulated_period,simulated_disaster,year,month,day,date,region,pa_projects,ia_registrations
3,131,2021,6,7,2021-06-07,5,1341,3586
3,132,2021,6,8,2021-06-08,8,23,0
3,133,2021,6,10,2021-06-10,8,15,0
3,134,2021,6,28,2021-06-28,5,100,419
3,135,2021,6,28,2021-06-28,5,554,0
3,136,2021,6,28,2021-06-28,8,133,0
3,137,2021,7,8,2021-07-08,6,80,0
3,138,2021,7,28,2021-07-28,3,1086,0
3,139,2021,8,2,2021-08-02,2,82,2943
3,140,2021,8,2,2021-08-02,6,44,0
3,141,2021,8,11,2021-08-11,9,104,1056
3,142,2021,8,17,2021-08-17,7,328,0
3,143,2021,8,24,2021-08-24,8,62,0
3,144,2021,8,27,2021-08-27,8,24,0
3,145,2021,8,30,2021-08-30,2,3185,3578
3,146,2021,9,3,2021-09-03,4,301,0
3,147,2021,9,6,2021-09-06,4,20,0
3,148,2021,9,11,2021-09-11,3,25,0
3,149,2021,9,11,2021-09-11,3,601,0
3,150,2021,9,11,2021-09-11,7,25,0
3,151,2021,9,13,2021-09-13,8,19,0
3,152,2021,9,14,2021-09-14,8,237,0
3,153,2021,9,17,2021-09-17,4,77,0
3,154,2021,9,17,2021-09-17,8,46,0
3,155,2021,9,23,2021-09-23,8,97,0
3,156,2021,9,28,2021-09-28,10,100,0
3,157,2021,9,29,2021-09-29,1,55,0
3,158,2021,9,30,2021-09-30,3,8986,16609
3,159,2021,10,7,2021-10-07,3,106,0
3,160,2021,10,15,2021-10-15,6,16,0
3,161,2021,10,21,2021-10-21,1,73,0
3,162,2021,10,26,2021-10-26,3,34,0
3,163,2021,11,9,2021-11-09,7,529,0
3,164,2021,11,17,2021-11-17,5,166,0
3,165,2021,12,5,2021-12-05,4,127,0
3,166,2021,12,18,2021-12-18,7,421,0
3,167,2022,1,17,2022-01-17,4,21,0
3,168,2022,1,25,2022-01-25,2,182,0
3,169,2022,2,4,2022-02-04,3,379,0
3,170,2022,2,15,2022-02-15,2,0,1450
4,171,2021,3,19,2021-03-19,3,147,0
4,172,2021,4,1,2021-04-01,9,464,1037
4,173,2021,4,3,2021-04-03,9,38,0
4,174,2021,4,8,2021-04-08,1,385,127
4,175,2021,4,21,2021-04-21,4,93,3199
4,176,2021,4,21,2021-04-21,9,74,0
4,177,2021,4,23,2021-04-23,8,608,0
4,178,2021,4,27,2021-04-27,8,10,0
4,179,2021,5,1,2021-05-01,5,398,0
4,180,2021,5,4,2021-05-04,2,75,528
4,181,2021,5,5,2021-05-05,5,1265,4904
4,182,2021,5,17,2021-05-17,9,331,5604
4,183,2021,5,21,2021-05-21,2,1069,0
4,184,2021,5,25,2021-05-25,3,506,0
4,185,2021,5,25,2021-05-25,10,91,13511
4,186,2021,6,5,2021-06-05,7,351,0
4,187,2021,6,6,2021-06-06,3,55,0
4,188,2021,6,10,2021-06-10,7,412,0
4,189,2021,6,12,2021-06-12,5,2027,0
4,190,2021,6,12,2021-06-12,6,209,0
4,191,2021,6,18,2021-06-18,6,94,0
4,192,2021,6,23,2021-06-23,6,629,0
4,193,2021,7,2,2021-07-02,1,97,0
4,194,2021,7,8,2021-07-08,7,0,218
4,195,2021,7,9,2021-07-09,6,60,0
4,196,2021,7,11,2021-07-11,6,416,20162
4,197,2021,7,14,2021-07-14,5,510,16487
4,198,2021,7,14,2021-07-14,6,80,30787
4,199,2021,7,18,2021-07-18,1,27,0
4,200,2021,7,24,2021-07-24,6,165,0
