simulated_period,simulated_disaster,year,month,day,date,region,pa_projects
3,144,2021,10,1,2021-10-01,4,0
3,145,2021,10,8,2021-10-08,4,1042
3,146,2021,10,16,2021-10-16,5,0
3,147,2021,10,17,2021-10-17,5,495
3,148,2021,10,17,2021-10-17,9,8
3,149,2021,10,26,2021-10-26,4,107
3,150,2021,10,28,2021-10-28,4,453
3,151,2021,10,31,2021-10-31,4,84
3,152,2021,11,16,2021-11-16,4,141
3,153,2021,11,18,2021-11-18,6,213
3,154,2021,11,21,2021-11-21,1,237
3,155,2021,11,28,2021-11-28,4,690
3,156,2021,11,29,2021-11-29,6,99
3,157,2021,12,6,2021-12-06,4,65
3,158,2021,12,10,2021-12-10,4,285
3,159,2021,12,14,2021-12-14,7,43
3,160,2021,12,24,2021-12-24,4,23
3,161,2021,12,29,2021-12-29,10,446
3,162,2022,1,1,2022-01-01,6,535
3,163,2022,1,16,2022-01-16,6,294
4,164,2021,1,21,2021-01-21,2,105
4,165,2021,2,1,2021-02-01,8,39
4,166,2021,2,13,2021-02-13,3,151
4,167,2021,2,22,2021-02-22,9,89
4,168,2021,3,1,2021-03-01,9,203
4,169,2021,3,11,2021-03-11,3,66
4,170,2021,3,12,2021-03-12,9,76
4,171,2021,3,15,2021-03-15,4,4337
4,172,2021,3,19,2021-03-19,7,233
4,173,2021,3,30,2021-03-30,3,503
4,174,2021,4,20,2021-04-20,8,130
4,175,2021,4,27,2021-04-27,7,607
4,176,2021,5,3,2021-05-03,4,485
4,177,2021,5,16,2021-05-16,6,426
4,178,2021,5,20,2021-05-20,4,1139
4,179,2021,5,25,2021-05-25,5,224
4,180,2021,5,29,2021-05-29,4,551
4,181,2021,5,31,2021-05-31,9,310
4,182,2021,6,5,2021-06-05,2,358
4,183,2021,6,6,2021-06-06,3,277
4,184,2021,6,7,2021-06-07,4,448
4,185,2021,6,12,2021-06-12,9,26
4,186,2021,6,19,2021-06-19,3,271
4,187,2021,6,23,2021-06-23,6,207
4,188,2021,6,26,2021-06-26,3,505
4,189,2021,6,28,2021-06-28,9,107
4,190,2021,6,30,2021-06-30,4,28
4,191,2021,7,3,2021-07-03,1,0
4,192,2021,7,3,2021-07-03,4,5582
4,193,2021,7,4,2021-07-04,10,68
4,194,2021,7,7,2021-07-07,8,143
4,195,2021,7,9,2021-07-09,9,54
4,196,2021,7,10,2021-07-10,8,139
4,197,2021,7,17,2021-07-17,7,246
4,198,2021,7,24,2021-07-24,1,443
4,199,2021,8,4,2021-08-04,7,321
4,200,2021,8,4,2021-08-04,7,1089
4,201,2021,8,6,2021-08-06,4,924
4,202,2021,8,6,2021-08-06,5,2219
4,203,2021,8,8,2021-08-08,4,261
4,204,2021,8,14,2021-08-14,4,1122
4,205,2021,8,17,2021-08-17,5,100
4,206,2021,8,21,2021-08-21,5,167
4,207,2021,8,23,2021-08-23,9,151
4,208,2021,8,24,2021-08-24,5,183
4,209,2021,9,6,2021-09-06,7,139
4,210,2021,9,15,2021-09-15,6,2117
4,211,2021,10,27,2021-10-27,6,490
4,212,2021,10,31,2021-10-31,2,3770
4,213,2021,11,4,2021-11-04,9,26
4,214,2021,11,10,2021-11-10,10,68
4,215,2021,11,20,2021-11-20,9,262
4,216,2021,11,27,2021-11-27,4,317
4,217,2021,11,29,2021-11-29,5,366
4,218,2021,12,4,2021-12-04,9,22
4,219,2021,12,5,2021-12-05,9,131
4,220,2021,12,11,2021-12-11,10,30
4,221,2021,12,28,2021-12-28,1,846
4,222,2021,12,28,2021-12-28,8,36
4,223,2021,12,29,2021-12-29,5,128
5,224,2021,1,27,2021-01-27,10,32
5,225,2021,2,6,2021-02-06,2,150
5,226,2021,3,13,2021-03-13,1,220
5,227,2021,3,29,2021-03-29,9,283
5,228,2021,4,4,2021-04-04,1,402
5,229,2021,4,4,2021-04-04,10,28
5,230,2021,4,10,2021-04-10,1,290
5,231,2021,4,11,2021-04-11,5,176
5,232,2021,4,14,2021-04-14,2,1123
5,233,2021,4,18,2021-04-18,10,63
5,234,2021,4,21,2021-04-21,8,89
5,235,2021,4,22,2021-04-22,2,2860
5,236,2021,4,27,2021-04-27,10,344
5,237,2021,4,28,2021-04-28,5,118
5,238,2021,5,8,2021-05-08,6,420
5,239,2021,5,14,2021-05-14,6,37
5,240,2021,5,16,2021-05-16,2,500
5,241,2021,5,17,2021-05-17,2,3491
5,242,2021,5,20,2021-05-20,6,12917
5,243,2021,5,20,2021-05-20,7,652
5,244,2021,5,28,2021-05-28,10,313
5,245,2021,5,29,2021-05-29,6,130
5,246,2021,6,2,2021-06-02,7,2337
5,247,2021,6,7,2021-06-07,7,282
5,248,2021,6,13,2021-06-13,3,132
5,249,2021,6,13,2021-06-13,7,29
5,250,2021,6,15,2021-06-15,1,173
5,251,2021,6,18,2021-06-18,7,2324
5,252,2021,6,20,2021-06-20,7,347
5,253,2021,6,26,2021-06-26,7,47
5,254,2021,6,26,2021-06-26,9,464
5,255,2021,6,27,2021-06-27,7,187
5,256,2021,7,2,2021-07-02,4,1246
5,257,2021,7,23,2021-07-23,10,48
5,258,2021,8,1,2021-08-01,4,20
5,259,2021,8,9,2021-08-09,3,150
5,260,2021,8,17,2021-08-17,7,3459
5,261,2021,8,24,2021-08-24,9,191
5,262,2021,8,26,2021-08-26,7,14
5,263,2021,8,26,2021-08-26,7,150
5,264,2021,9,1,2021-09-01,9,146
