project_id,sent_to_crc_date,project_size,source,status
138906,2021-09-01,Large,pre_crc,pre_crc
138659,2021-02-03,Small,pre_crc,pre_crc
138660,2021-08-03,Small,pre_crc,pre_crc
138676,2021-03-04,Small,pre_crc,pre_crc
138677,2021-08-13,Small,pre_crc,pre_crc
138996,2021-03-23,Large,pre_crc,pre_crc
138976,2021-03-23,Small,pre_crc,pre_crc
139093,2021-02-07,Small,pre_crc,pre_crc
139242,2021-06-17,Small,pre_crc,pre_crc
139231,2021-02-14,Small,pre_crc,pre_crc
139177,2021-02-05,Small,pre_crc,pre_crc
139179,2021-12-26,Small,pre_crc,pre_crc
139181,2021-05-28,Small,pre_crc,pre_crc
139182,2021-04-16,Small,pre_crc,pre_crc
139325,2021-07-08,Small,pre_crc,pre_crc
139246,2022-01-24,Small,pre_crc,pre_crc
139253,2021-08-02,Small,pre_crc,pre_crc
139515,2021-02-25,Small,pre_crc,pre_crc
139518,2021-06-01,Small,pre_crc,pre_crc
139502,2021-04-24,Small,pre_crc,pre_crc
138372,2021-03-27,Small,pre_crc,pre_crc
138347,2021-10-27,Small,pre_crc,pre_crc
138349,2022-01-01,Small,pre_crc,pre_crc
138350,2021-04-13,Large,pre_crc,pre_crc
138351,2021-02-28,Small,pre_crc,pre_crc
138353,2021-11-02,Large,pre_crc,pre_crc
138485,2022-05-02,Small,pre_crc,pre_crc
138260,2021-12-01,Small,pre_crc,pre_crc
138263,2021-05-18,Small,pre_crc,pre_crc
138251,2021-11-17,Small,pre_crc,pre_crc
138252,2021-05-16,Small,pre_crc,pre_crc
138253,2021-01-28,Small,pre_crc,pre_crc
138254,2021-01-25,Small,pre_crc,pre_crc
138255,2021-09-22,Small,pre_crc,pre_crc
138161,2021-06-29,Small,pre_crc,pre_crc
141571,2021-10-13,Small,pre_crc,pre_crc
141796,2021-09-14,Small,pre_crc,pre_crc
141863,2021-09-19,Small,pre_crc,pre_crc
142787,2021-02-26,Small,pre_crc,pre_crc
142347,2022-04-02,Small,pre_crc,pre_crc
142348,2022-01-02,Small,pre_crc,pre_crc
143200,2021-03-18,Large,pre_crc,pre_crc
134681,2022-03-22,Small,pre_crc,pre_crc
164012,2021-06-25,Small,pre_crc,pre_crc
164017,2021-11-11,Small,pre_crc,pre_crc
163952,2021-05-02,Small,pre_crc,pre_crc
163874,2022-01-12,Small,pre_crc,pre_crc
163753,2021-08-20,Small,pre_crc,pre_crc
164055,2021-09-25,Small,pre_crc,pre_crc
164038,2021-12-03,Small,pre_crc,pre_crc
164432,2021-05-12,Small,pre_crc,pre_crc
165109,2021-04-02,Very Large,pre_crc,pre_crc
164910,2021-05-25,Small,pre_crc,pre_crc
165411,2021-05-23,Small,pre_crc,pre_crc
165409,2021-03-01,Small,pre_crc,pre_crc
165355,2021-03-15,Small,pre_crc,pre_crc
165612,2021-06-23,Large,pre_crc,pre_crc
165547,2021-08-24,Small,pre_crc,pre_crc
166145,2021-04-19,Small,pre_crc,pre_crc
166200,2021-05-25,Small,pre_crc,pre_crc
165983,2021-04-16,Small,pre_crc,pre_crc
165989,2021-02-22,Small,pre_crc,pre_crc
166049,2022-02-03,Small,pre_crc,pre_crc
165947,2021-07-27,Small,pre_crc,pre_crc
166554,2021-05-31,Large,pre_crc,pre_crc
166984,2021-02-09,Small,pre_crc,pre_crc
166976,2021-08-10,Small,pre_crc,pre_crc
166981,2021-03-18,Small,pre_crc,pre_crc
166825,2021-05-26,Small,pre_crc,pre_crc
166826,2021-06-02,Small,pre_crc,pre_crc
167577,2021-04-04,Small,pre_crc,pre_crc
167575,2021-05-21,Small,pre_crc,pre_crc
167466,2021-01-29,Small,pre_crc,pre_crc
167367,2021-02-01,Small,pre_crc,pre_crc
167028,2021-07-07,Small,pre_crc,pre_crc
167030,2021-05-10,Small,pre_crc,pre_crc
167041,2021-05-31,Small,pre_crc,pre_crc
167005,2021-02-17,Small,pre_crc,pre_crc
167163,2021-05-10,Small,pre_crc,pre_crc
167149,2022-01-19,Small,pre_crc,pre_crc
167890,2021-03-27,Small,pre_crc,pre_crc
167897,2021-03-26,Small,pre_crc,pre_crc
